Tanggal;Konten;Like;Komentar;Perusahaan
29/06/2023;Peringatan Hari Raya;47;1;JCC
28/06/2023;Repost;14;0;JCC
27/06/2023;Repost;31;0;JCC
26/06/2023;Repost;18;0;JCC
25/06/2023;Festival;68;0;JCC
24/06/2023;Festival;68;0;JCC
23/06/2023;Festival;190;2;JCC
23/06/2023;Festival;41;0;JCC
22/06/2023;Repost;56;0;JCC
22/06/2023;Peringatan Hari Raya;31;0;JCC
21/06/2023;Repost;43;3;JCC
20/06/2023;Repost;26;3;JCC
19/06/2023;Repost;99;3;JCC
08/06/2023;Kunjungan Menteri PUPR;104;0;JCC
07/06/2023;Notifikasi Renovasi;146;1;JCC
04/06/2023;Pameran;54;0;JCC
04/06/2023;Peringatan Hari Raya;16;0;JCC
03/06/2023;Pameran;66;0;JCC
02/06/2023;Pameran;58;0;JCC
01/06/2023;Pameran;70;0;JCC
01/06/2023;Peringatan Hari Raya;22;0;JCC
31/05/2023;Repost;42;0;JCC
30/05/2023;Repost;78;2;JCC
19/05/2023;Kontes;78;6;JCC
19/05/2023;Repost;87;1;JCC
18/05/2023;Peringatan Hari Raya;24;1;JCC
16/05/2023;Konferensi;57;0;JCC
16/05/2023;Repost;53;1;JCC
13/05/2023;Konferensi;119;1;JCC
12/05/2023;Promosi;76;0;JCC
10/05/2023;Festival;55;1;JCC
09/05/2023;Festival;43;0;JCC
08/05/2023;Festival;44;0;JCC
07/05/2023;Festival;92;5;JCC
07/05/2023;Repost;87;5;JCC
06/05/2023;Peringatan Hari Raya;61;0;JCC
05/05/2023;Repost;86;0;JCC
04/05/2023;Halal Bihalal;113;4;JCC
03/05/2023;Konser;79;1;JCC
03/05/2023;Repost;27;0;JCC
02/05/2023;Repost;52;1;JCC
02/05/2023;Repost;40;3;JCC
01/05/2023;Peringatan Hari Raya;21;3;JCC
29/04/2023;Wisuda;63;2;JCC
29/04/2023;Wisuda;44;0;JCC
28/04/2023;Repost;39;0;JCC
27/04/2023;Wisuda;95;2;JCC
27/04/2023;Wisuda;102;0;JCC
21/04/2023;Peringatan Hari Raya;54;0;JCC
21/04/2023;Peringatan Hari Raya;27;0;JCC
16/04/2023;Turnamen;76;0;JCC
16/04/2023;Festival;40;0;JCC
15/04/2023;Wisuda;59;0;JCC
15/04/2023;Festival;54;0;JCC
14/04/2023;Santunan Anak Yatim Piatu;58;0;JCC
14/04/2023;Festival;40;0;JCC
13/04/2023;Repost;37;1;JCC
13/04/2023;Festival;73;3;JCC
12/04/2023;Santunan Anak Yatim Piatu;85;1;JCC
12/04/2023;Festival;43;0;JCC
11/04/2023;Notifikasi Acara;68;0;JCC
11/04/2023;Festival;70;4;JCC
10/04/2023;Festival;75;1;JCC
09/04/2023;Festival;89;0;JCC
08/04/2023;Buka Bersama;68;0;JCC
08/04/2023;Festival;72;1;JCC
07/04/2023;Peringatan Hari Raya;12;0;JCC
07/04/2023;Festival;65;1;JCC
06/04/2023;Festival;69;0;JCC
05/04/2023;Festival;115;8;JCC
05/04/2023;Festival;53;0;JCC
05/04/2023;Wisuda;55;0;JCC
05/04/2023;Notifikasi Acara;34;1;JCC
04/04/2023;Repost;54;1;JCC
04/04/2023;Repost;67;0;JCC
04/04/2023;Repost;96;6;JCC
03/04/2023;Repost;120;4;JCC
03/04/2023;Repost;38;0;JCC
03/04/2023;Repost;170;1;JCC
02/04/2023;Festival;56;0;JCC
01/04/2023;Festival;52;0;JCC
31/03/2023;Festival;53;0;JCC
31/03/2023;Festival;112;5;JCC
31/03/2023;Notifikasi Acara;57;1;JCC
30/03/2023;Repost;32;0;JCC
30/03/2023;Repost;50;0;JCC
29/03/2023;Repost;38;0;JCC
27/03/2023;Konferensi;75;0;JCC
27/03/2023;Repost;27;0;JCC
25/03/2023;Wisuda;219;0;JCC
25/03/2023;Wisuda;54;0;JCC
22/03/2023;Peringatan Hari Raya;52;0;JCC
22/03/2023;Peringatan Hari Raya;35;0;JCC
21/03/2023;Konferensi;57;0;JCC
19/03/2023;Konser;61;2;JCC
19/03/2023;Pameran;31;0;JCC
18/03/2023;Konser;42;0;JCC
18/03/2023;Olahraga;54;0;JCC
18/03/2023;Pameran;48;1;JCC
17/03/2023;Konser;37;0;JCC
17/03/2023;Pameran;70;1;JCC
16/03/2023;Konser;70;0;JCC
16/03/2023;Pameran;55;0;JCC
15/03/2023;Konser;55;0;JCC
15/03/2023;Pameran;68;1;JCC
14/03/2023;Repost;52;0;JCC
14/03/2023;Pameran;37;0;JCC
13/03/2023;Repost;42;0;JCC
13/03/2023;Pameran;71;0;JCC
12/03/2023;Pameran;78;4;JCC
11/03/2023;Pameran;52;0;JCC
10/03/2023;Konser;110;0;JCC
10/03/2023;Pameran;48;0;JCC
10/03/2023;Repost;39;2;JCC
09/03/2023;Repost;136;8;JCC
09/03/2023;Repost;24;0;JCC
08/03/2023;Repost;96;9;JCC
07/03/2023;Repost;49;0;JCC
06/03/2023;Repost;34;0;JCC
05/03/2023;Pameran;47;3;JCC
04/03/2023;Pameran;67;3;JCC
03/03/2023;Repost;61;0;JCC
03/03/2023;Pameran;66;1;JCC
02/03/2023;Pameran;79;2;JCC
01/03/2023;Pameran;136;5;JCC
01/03/2023;Notifikasi Acara;58;3;JCC
